CLAS 1210,CLAS-AB,Classics - AB,1
CLAS 1220,CLAS-AB,Classics - AB,1
CLAS 1310,CLAS-AB,Classics - AB,1
CLAS 1320,CLAS-AB,Classics - AB,1
HIST 1201B,CLAS-AB,Classics - AB,1
GREK 1050F,CLAS-AB,Classics - AB,1
GREK 1100E,CLAS-AB,Classics - AB,1
GREK 1100F,CLAS-AB,Classics - AB,1
GREK 1110I,CLAS-AB,Classics - AB,1
GREK 1111E,CLAS-AB,Classics - AB,1
GREK 1150,CLAS-AB,Classics - AB,1
GREK 1810,CLAS-AB,Classics - AB,1
LATN 1040A,CLAS-AB,Classics - AB,1
LATN 1060H,CLAS-AB,Classics - AB,1
LATN 1110F,CLAS-AB,Classics - AB,1
LATN 1110I,CLAS-AB,Classics - AB,1
LATN 1110O,CLAS-AB,Classics - AB,1
LATN 1110R,CLAS-AB,Classics - AB,1
LATN 1820,CLAS-AB,Classics - AB,1
CLAS 0010,CLAS-AB,Classics - AB,1
CLAS 0150,CLAS-AB,Classics - AB,1
CLAS 0210L,CLAS-AB,Classics - AB,1
CLAS 0660,CLAS-AB,Classics - AB,1
CLAS 0780,CLAS-AB,Classics - AB,1
CLAS 0810A,CLAS-AB,Classics - AB,1
CLAS 0820,CLAS-AB,Classics - AB,1
CLAS 0855,CLAS-AB,Classics - AB,1
CLAS 0900,CLAS-AB,Classics - AB,1
CLAS 0990,CLAS-AB,Classics - AB,1
CLAS 1120E,CLAS-AB,Classics - AB,1
CLAS 1120G,CLAS-AB,Classics - AB,1
CLAS 1120W,CLAS-AB,Classics - AB,1
CLAS 1120X,CLAS-AB,Classics - AB,1
CLAS 1750L,CLAS-AB,Classics - AB,1
CLAS 1770,CLAS-AB,Classics - AB,1
GREK 0100,CLAS-AB,Classics - AB,1
GREK 0110,CLAS-AB,Classics - AB,1
GREK 0200,CLAS-AB,Classics - AB,1
GREK 0300,CLAS-AB,Classics - AB,1
GREK 0400,CLAS-AB,Classics - AB,1
LATN 0100,CLAS-AB,Classics - AB,1
LATN 0110,CLAS-AB,Classics - AB,1
LATN 0200,CLAS-AB,Classics - AB,1
LATN 0300,CLAS-AB,Classics - AB,1
LATN 0400,CLAS-AB,Classics - AB,1
SANS 0100,CLAS-AB,Classics - AB,1
SANS 0200,CLAS-AB,Classics - AB,1
GREK 1810,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1820,CLAS-AB-GRKK,Classics - AB (Greek),1
CLAS 1210,CLAS-AB-GRKK,Classics - AB (Greek),1
CLAS 1220,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1050F,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1100E,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1100F,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1110I,CLAS-AB-GRKK,Classics - AB (Greek),1
GREK 1111E,CLAS-AB-GRKK,Classics - AB (Greek),1
